municipality,state,country,veg_landuse_type_point_level1,veg_landuse_type_point_level2,veg_landuse_type_buffer5km_level1,veg_landuse_type_buffer5km_level2,temperature,relative_humidity,plant_order,plant_family,plant_genera,plant_species_complete_name,plant_type,plant_habit,plant_flower_colour,plant_flower_shape,invertebrate_order,invertebrate_family,invertebrate_genera,invertebrate_species_complete_name,invertebrate_origins,invertebrate_behavior,invertebrate_collector_structure,plant_collected_material,invertebrate_collected
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,441,1861,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,339,1574,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,56,61,174,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,2,123,626,2222,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,441,1861,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,56,61,174,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,44,116,2,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,2,123,626,2222,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,441,1861,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,339,1574,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,56,61,174,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,44,116,2,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,2,123,626,2222,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,441,1861,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,56,61,174,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,44,116,2,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,441,1861,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,339,1574,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,2,123,626,2222,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,433,1827,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,441,1861,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,339,1574,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,2,123,626,2222,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,56,61,174,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,433,1827,1,7,11,11,7
3,9,1,9,39,7,6,25.0,65.0,16,117,518,1204,6,13,76,42,4,10,441,1861,1,7,11,11,7
